country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Pakistan,2001,,38.561848,,,,,,
Pakistan,2004,,33.54718,,,,,,
Pakistan,2005,,33.142616,,,,,,
Pakistan,2007,,30.432806,,,,,,
Pakistan,2010,,27.34269,,,,,,
Pakistan,2011,,27.566217,,,,,,
Pakistan,2013,,26.23061,,,,,,
Pakistan,2015,,24.356031,,,,,,
Pakistan,2018,,23.912092,,,,,,
Palestine,2004,25.235573,,,,,,,
Palestine,2005,19.93932,,,,,,,
Palestine,2006,15.491341,,,,,,,
Palestine,2007,24.49696,,,,,,,
Palestine,2009,20.78639,,,,,,,
Palestine,2010,,17.732805,,,,,,
Palestine,2011,,15.238235,,,,,,
Palestine,2016,,21.411058,,,,,,
Palestine,2023,,22.442602,,,,,,
Papua New Guinea,1996,53.896526,,,,,,,
