country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Brazil,1997,,,,,,,,,52563753,,,,,,,
Brazil,1998,,,,,,,,,53057823,,,,,,,
Brazil,1999,,,,,,,,,53740501,,,,,,,
Brazil,2001,,,,,,,,,55221875,,,,,,,
Brazil,2002,,,,,,,,,55401686,,,,,,,
Brazil,2003,,,,,,,,,56000591,,,,,,,
Brazil,2004,,,,,,,,,55711611,,,,,,,
Brazil,2005,,,,,,,,,56180841,,,,,,,
Brazil,2006,,,,,,,,,55588917,,,,,,,
Brazil,2007,,,,,,,,,57123767,,,,,,,
Brazil,2008,,,,,,,,,55824363,,,,,,,
Brazil,2009,,,,,,,,,56438293,,,,,,,
Brazil,2011,,,,,,,,,56614809,,,,,,,
Brazil,2012,,,,,,,,,,57661275,,,,,,
Brazil,2013,,,,,,,,,,56690930,,,,,,
Brazil,2014,,,,,,,,,,56825130,,,,,,
Brazil,2015,,,,,,,,,,57218395,,,,,,
Brazil,2016,,,,,,,,,,59086465,,,,,,
Brazil,2017,,,,,,,,,,60244794,,,,,,
Brazil,2018,,,,,,,,,,60771984,,,,,,
Brazil,2019,,,,,,,,,,61818067,,,,,,
Brazil,2020,,,,,,,,,,50790928,,,,,,
Brazil,2021,,,,,,,,,,60736745,,,,,,
Brazil,2022,,,,,,,,,,58635662,,,,,,
Brazil,2023,,,,,,,,,,59433515,,,,,,
Bulgaria,1989,1008779,,,,,,,,,,,,,,,
Bulgaria,1992,,,,,,,,,,1458148,,,,,,
Bulgaria,1994,983678,,,,,,,,,,,,,,,
Bulgaria,1995,,,,1331396,,,,,,,,,,,,
Bulgaria,1997,,,909839,,,,,,,,,,,,,
Bulgaria,2001,,,,1534397,,,,,,,,,,,,
Bulgaria,2003,,,,,1084243,,,,,,,,,,,
Bulgaria,2006,,,,,,,,,,,,,,1610511,,
Bulgaria,2007,,,,,1177646,,,,,,,,,1430853,,
Bulgaria,2008,,,,,,,,,,,,,,1415322,,
Bulgaria,2009,,,,,,,,,,,,,,1489493,,
Bulgaria,2010,,,,,,,,,,,,,,1570421,,
Bulgaria,2011,,,,,,,,,,,,,,1462089,,
Bulgaria,2012,,,,,,,,,,,,,,1485209,,
Bulgaria,2013,,,,,,,,,,,,,,1491637,,
Bulgaria,2014,,,,,,,,,,,,,,1453850,,
Bulgaria,2015,,,,,,,,,,,,,,,1496126,
Bulgaria,2016,,,,,,,,,,,,,,,1479091,
Bulgaria,2017,,,,,,,,,,,,,,,1404521,
Bulgaria,2018,,,,,,,,,,,,,,,1345721,
Bulgaria,2019,,,,,,,,,,,,,,,1365311,
Bulgaria,2020,,,,,,,,,,,,,,,1239218,
Bulgaria,2021,,,,,,,,,,,,,,,1245608,
Bulgaria,2022,,,,,,,,,,,,,,,1259839,
Bulgaria,2023,,,,,,,,,,,,,,,1326652,
Burkina Faso,1994,1959544,,,,,,,,,,,,,,,
Burkina Faso,1998,,2237787,,,,,,,,,,,,,,
Burkina Faso,2003,,2623185,,,,,,,,,,,,,,
Burkina Faso,2009,,,2951828,,,,,,,,,,,,,
Burkina Faso,2014,,,,2227491,,,,,,,,,,,,
Burkina Faso,2018,,,,,3847968,,,,,,,,,,,
Burkina Faso,2021,,,,,3921133,,,,,,,,,,,
Burundi,1992,1066347,,,,,,,,,,,,,,,
Burundi,1998,,1506131,,,,,,,,,,,,,,
Burundi,2006,,826574,,,,,,,,,,,,,,
Burundi,2013,,1970434,,,,,,,,,,,,,,
Burundi,2020,,,2413465,,,,,,,,,,,,,
Cameroon,1996,2284644,,,,,,,,,,,,,,,
Cameroon,2001,,3271426,,,,,,,,,,,,,,
Cameroon,2007,,4312464,,,,,,,,,,,,,,
Cameroon,2014,,6344213,,,,,,,,,,,,,,
Cameroon,2021,,,7223405,,,,,,,,,,,,,
Canada,1971,,,,,,,,,4886306,,,,,,,
Canada,1973,,,,,,,,,4664594,,,,,,,
Canada,1975,,,,,,,,,4511694,,,,,,,
Canada,1977,,,,,,,,,4685803,,,,,,,
Canada,1979,,,,,,,,,4779636,,,,,,,
Canada,1981,,,,,,,,,4589911,,,,,,,
Canada,1982,,,,,,,,,4707448,,,,,,,
Canada,1984,,,,,,,,,4993111,,,,,,,
Canada,1985,,,,,,,,,4909950,,,,,,,
Canada,1986,,,,,,,,,4827987,,,,,,,
Canada,1987,,,,,,,,,4826494,,,,,,,
Canada,1988,,,,,,,,,4688132,,,,,,,
Canada,1989,,,,,,,,,4772155,,,,,,,
Canada,1990,,,,,,,,,5051542,,,,,,,
Canada,1991,,,,,,,,,5256425,,,,,,,
Canada,1992,,,,,,,,,5244856,,,,,,,
Canada,1993,,,,,,,,,5378277,,,,,,,
Canada,1994,,,,,,,,,5364627,,,,,,,
Canada,1995,,,,,,,,,5567428,,,,,,,
Canada,1996,,,,,,,,,,5916591,,,,,,
Canada,1997,,,,,,,,,,5975630,,,,,,
Canada,1998,,,,,,,,,,5879064,,,,,,
Canada,1999,,,,,,,,,,6001788,,,,,,
Canada,2000,,,,,,,,,,5983023,,,,,,
Canada,2001,,,,,,,,,,6124652,,,,,,
Canada,2002,,,,,,,,,,6192232,,,,,,
Canada,2003,,,,,,,,,,6406929,,,,,,
Canada,2004,,,,,,,,,,6467249,,,,,,
Canada,2005,,,,,,,,,,6448276,,,,,,
Canada,2006,,,,,,,,,,6348569,,,,,,
Canada,2007,,,,,,,,,,6248174,,,,,,
Canada,2008,,,,,,,,,,6563236,,,,,,
Canada,2009,,,,,,,,,,6809741,,,,,,
Canada,2010,,,,,,,,,,6715226,,,,,,
Canada,2011,,,,,,,,,,6437644,,,,,,
Canada,2012,,,,,,,,,,,7286428,,,,,
Canada,2013,,,,,,,,,,,7276795,,,,,
Canada,2014,,,,,,,,,,,6998028,,,,,
Canada,2015,,,,,,,,,,,7229388,,,,,
Canada,2016,,,,,,,,,,,7131561,,,,,
Canada,2017,,,,,,,,,,,7396104,,,,,
Canada,2018,,,,,,,,,,,7042233,,,,,
Canada,2019,,,,,,,,,,,6959112,,,,,
Canada,2020,,,,,,,,,,,6084398,,,,,
Canada,2021,,,,,,,,,,,6500008,,,,,
Cape Verde,2001,125331,,,,,,,,,,,,,,,
Cape Verde,2007,,125603,,,,,,,,,,,,,,
Cape Verde,2015,,,122298,,,,,,,,,,,,,
Central African Republic,1992,1063379,,,,,,,,,,,,,,,
Central African Republic,2008,,1274296,,,,,,,,,,,,,,
Central African Republic,2021,,,1169861,,,,,,,,,,,,,
Chad,2003,2037924,,,,,,,,,,,,,,,
Chad,2011,3421874,,,,,,,,,,,,,,,
Chad,2018,,3146769,,,,,,,,,,,,,,
Chad,2022,,4144845,,,,,,,,,,,,,,
Chile,1987,,,,,,,,,3521193,,,,,,,
Chile,1990,,,,,,,,,3654422,,,,,,,
Chile,1992,,,,,,,,,3562525,,,,,,,
Chile,1994,,,,,,,,,3910043,,,,,,,
Chile,1996,,,,,,,,,3947040,,,,,,,
Chile,1998,,,,,,,,,4122921,,,,,,,
Chile,2000,,,,,,,,,,4092541,,,,,,
Chile,2003,,,,,,,,,,4225291,,,,,,
Chile,2006,,,,,,,,,,,3900741,,,,,
Chile,2009,,,,,,,,,,,3851336,,,,,
Chile,2011,,,,,,,,,,,3846667,,,,,
Chile,2013,,,,,,,,,,,3857407,,,,,
Chile,2015,,,,,,,,,,,3861200,,,,,
Chile,2017,,,,,,,,,,,3994004,,,,,
Chile,2020,,,,,,,,,,,4407974,,,,,
Chile,2022,,,,,,,,,,,4164210,,,,,
China,1981,,,,,,,,,148338861,,,,,,,
China,1984,,,,,,,,,160541330,,,,,,,
China,1987,,,,,,,,,193562037,,,,,,,
China,1990,,182887476,,,,,,,,,,,,,,
China,1993,,189869133,,,,,,,,,,,,,,
China,1996,,237763609,,,,,,,,,,,,,,
China,1999,,274892134,,,,,,,,,,,,,,
China,2002,,317124751,,,,,,,,,,,,,,
China,2005,,310051529,,,,,,,,,,,,,,
China,2008,,349515076,,,,,,,,,,,,,,
China,2010,,359958598,,,,,,,,,,,,,,
China,2011,,345386786,,,,,,,,,,,,,,
China,2012,,351924472,,,,,,,,,,,,,,
China,2013,,,313435720,,,,,,,,,,,,,
China,2014,,,316566819,,,,,,,,,,,,,
China,2015,,,311614131,,,,,,,,,,,,,
China,2016,,,310147477,,,,,,,,,,,,,
China,2017,,,316443275,,,,,,,,,,,,,
China,2018,,,312261612,,,,,,,,,,,,,
China,2019,,,303864379,,,,,,,,,,,,,
China,2020,,,282820900,,,,,,,,,,,,,
China,2021,,,274136738,,,,,,,,,,,,,
China,2022,,,280551289,,,,,,,,,,,,,
China (rural),1981,,,,,,,,,107546470,,,,,,,
China (rural),1984,,,,,,,,,115064160,,,,,,,
China (rural),1987,,,,,,,,,140425711,,,,,,,
China (rural),1990,,116309855,,,,,,,,,,,,,,
China (rural),1993,,117844252,,,,,,,,,,,,,,
China (rural),1996,,139488556,,,,,,,,,,,,,,
China (rural),1999,,147975965,,,,,,,,,,,,,,
China (rural),2002,,156041365,,,,,,,,,,,,,,
China (rural),2005,,146453388,,,,,,,,,,,,,,
China (rural),2008,,150727721,,,,,,,,,,,,,,
China (rural),2010,,145615043,,,,,,,,,,,,,,
China (rural),2011,,140317834,,,,,,,,,,,,,,
China (rural),2012,,141618892,,,,,,,,,,,,,,
China (rural),2013,,,121626798,,,,,,,,,,,,,
China (rural),2014,,,120386352,,,,,,,,,,,,,
China (rural),2015,,,114260131,,,,,,,,,,,,,
China (rural),2016,,,111893050,,,,,,,,,,,,,
China (rural),2017,,,110631876,,,,,,,,,,,,,
China (rural),2018,,,106480481,,,,,,,,,,,,,
China (rural),2019,,,96738499,,,,,,,,,,,,,
China (rural),2020,,,79912577,,,,,,,,,,,,,
China (rural),2021,,,82755455,,,,,,,,,,,,,
China (rural),2022,,,85788397,,,,,,,,,,,,,
China (urban),1981,,,,,,,,,15514105,,,,,,,
China (urban),1984,,,,,,,,,14109341,,,,,,,
China (urban),1987,,,,,,,,,24277949,,,,,,,
China (urban),1990,,41801064,,,,,,,,,,,,,,
China (urban),1993,,53135009,,,,,,,,,,,,,,
China (urban),1996,,62275957,,,,,,,,,,,,,,
China (urban),1999,,79587508,,,,,,,,,,,,,,
China (urban),2002,,93144246,,,,,,,,,,,,,,
China (urban),2005,,110141795,,,,,,,,,,,,,,
China (urban),2008,,122161913,,,,,,,,,,,,,,
China (urban),2010,,131949965,,,,,,,,,,,,,,
China (urban),2011,,134030192,,,,,,,,,,,,,,
China (urban),2012,,139316044,,,,,,,,,,,,,,
China (urban),2013,,,157142666,,,,,,,,,,,,,
China (urban),2014,,,164398802,,,,,,,,,,,,,
China (urban),2015,,,165877105,,,,,,,,,,,,,
China (urban),2016,,,170301663,,,,,,,,,,,,,
China (urban),2017,,,179571735,,,,,,,,,,,,,
China (urban),2018,,,186455501,,,,,,,,,,,,,
China (urban),2019,,,188211007,,,,,,,,,,,,,
China (urban),2020,,,180799335,,,,,,,,,,,,,
China (urban),2021,,,179774972,,,,,,,,,,,,,
China (urban),2022,,,185646143,,,,,,,,,,,,,
Colombia,1992,,,,,,,,,,8975275,,,,,,
Colombia,1996,,,,,,,,,,10478031,,,,,,
Colombia,1999,,,,,,,,,,11528017,,,,,,
Colombia,2000,,,,,,,,,,10910341,,,,,,
Colombia,2001,,,,,,,,,,,11070159,,,,,
Colombia,2002,,,,,,,,,,,,11239864,,,,
Colombia,2003,,,,,,,,,,,,11262148,,,,
Colombia,2004,,,,,,,,,,,,11134360,,,,
Colombia,2005,,,,,,,,,,,,11392464,,,,
Colombia,2008,,,,,,,,,,,,,12979077,,,
Colombia,2009,,,,,,,,,,,,,12733242,,,
Colombia,2010,,,,,,,,,,,,,12754048,,,
Colombia,2011,,,,,,,,,,,,,12677343,,,
Colombia,2012,,,,,,,,,,,,,13048391,,,
Colombia,2013,,,,,,,,,,,,,13088069,,,
Colombia,2014,,,,,,,,,,,,,13146170,,,
Colombia,2015,,,,,,,,,,,,,13047398,,,
Colombia,2016,,,,,,,,,,,,,12975413,,,
Colombia,2017,,,,,,,,,,,,,12950535,,,
Colombia,2018,,,,,,,,,,,,,13324919,,,
Colombia,2019,,,,,,,,,,,,,13899919,,,
Colombia,2020,,,,,,,,,,,,,14326761,,,
Colombia,2021,,,,,,,,,,,,,,14604261,,
Colombia,2022,,,,,,,,,,,,,,14548942,,
Colombia,2023,,,,,,,,,,,,,,14614729,,
Colombia (urban),1980,,,,,,,,,5281887,,,,,,,
Colombia (urban),1988,,,,,,,,,,6443407,,,,,,
Colombia (urban),1989,,,,,,,,,,6503020,,,,,,
Colombia (urban),1991,,,,,,,,,,6867341,,,,,,
Comoros,2004,143295,,,,,,,,,,,,,,,
Comoros,2014,,188334,,,,,,,,,,,,,,
Congo,2005,906822,,,,,,,,,,,,,,,
Congo,2011,1326609,,,,,,,,,,,,,,,
Costa Rica,1981,,,,,,,,,748709,,,,,,,
